output_id	paper_item	case_study	generating_script	input_dependencies	expected_filename	included_in_repo	notes
fig1_schema	Figure 1 — schematic / workflow	-	manual	-	-	no	Manually assembled vector graphic (Inkscape / Illustrator). Not script-generated. Source PDF lives in PhiSpaceST_FinalSubmission/PhiSpaceST_CellPress/fig/schema.pdf in the manuscript repo.
fig2_visium_main	Figure 2 (all panels)	visium_nsclc	scripts/01_visium_case/05_visiumNSCLC_main.Rmd	02_runPhiSpace.R outputs; AzimuthLungMarkers.R outputs; competitor results (optional)	figs/CaseVisium/* (composed in Rmd into Figure2.pdf)	no	Master notebook for the Visium NSCLC case study; assembles all Fig 2 panels.
fig3_cosmx_main	Figure 3 (panels A, B, D, E, F)	cosmx_nsclc	scripts/02_cosmx_case/02_cosmx4Refs_main.Rmd	01_runPhiSpace4Refs.R outputs; CosMx_prepareSCEobjects.R outputs	figs/CaseCosMx/* (composed into Figure3.pdf)	no	Master notebook for the CosMx NSCLC case study.
fig3c_cluster_colour_refresh	Figure 3 panel C (colour refresh)	cosmx_nsclc	scripts/02_cosmx_case/03_regenFig3C.R	output/Case3/CosMxAllLungsPhiRes4Refs_log1p.qs; output/Case3/Lung5_Rep1_PhiClusts4Refs.qs; output/Case3/Lung5_Rep1_OmicsClusts4Refs.qs	figs/clusts/{PhiClust,OmicsClust,divergence,PhiClust_leg}.png	no	Run only when refreshing the niche-5 colour to gold without rerunning the full Rmd.
fig4_xenium_pathology	Figure 4 panel A — pathology annotation map	xenium_nsclc	scripts/03_xenium_case/00_prepareData.R + scripts/03_xenium_case/01_assignPathology.py	Xenium FFPE NSCLC raw files; pathology GeoJSON	figs/CaseXenium/Fig4A_pathology.png	no	Spatial scatter of cells coloured by pathology_combined (5 categories).
fig4_xenium_niches	Figure 4 panel B — PhiSpace niche clusters (k=8)	xenium_nsclc	scripts/03_xenium_case/03_nicheAnalysis.R	02_runPhiSpace4Refs.R output (xenium_lung_sce.qs)	figs/niche_clusters_k2_to_k10.png (k=8 panel)	no	The k=8 panel is extracted for Fig 4B.
fig4_xenium_enrichment	Figure 4 panel C — cell type enrichment heatmap (z-scored, with pathology bar + lineage)	xenium_nsclc	scripts/03_xenium_case/04_clusterEnrichment.R	03_nicheAnalysis.R outputs (xenium_lung_sce.qs)	figs/clusterEnrichment/maintext_heatmap_k08.png	no	Z-scored heatmap (43 cell types × 8 clusters) with stacked pathology bar and lineage annotation.
fig5_stereoseq_main	Figure 5 (all panels)	stereoseq_aml	scripts/04_stereoseq_case/03_bridge_main.Rmd	01_prepareSCE.R + 02_runPhiSpace_intermediate.R outputs; SPLINTR barcode files; barcode-seq_clustering.rds	figs/* (composed into Figure5.pdf)	no	Master notebook for the Stereo-seq AML mouse spleen case study; bridging, clustering, DWD, clone composition, enriched cell types.
suppfig_visium_panels	Supp Figures S2-S5 — Visium immune, RCTD, and pDC-fibroblast analyses	visium_nsclc	scripts/01_visium_case/05_visiumNSCLC_main.Rmd; scripts/05_pdc_fibroblast_supp/02_visium_pDCFibroblast.R	as Fig 2	figs/specialCases/*; figs/copresence/*; figs/spatialHeatmap/*; pDC/figs/visium_*	no	Final supplemental order: S2 immune interactions; S3 RCTD co-presence; S4 representative pDC/fibroblast spatial heatmaps; S5 all-40-sample pDC/fibroblast co-localisation.
suppfig_cosmx_panels	Supp Figure S6 — CosMx Lung5_Rep1 cell type divergence	cosmx_nsclc	scripts/02_cosmx_case/02_cosmx4Refs_main.Rmd	as Fig 3	fig/CaseCosMx_supp.png	no	Final supplement contains the CosMx divergence panel as Figure S6; niche-specific enriched cell types are Supplementary Table S1.
suppfig_xenium_copresence_pca	Supp Fig S8A — PCA of niche-specific co-presence matrices	xenium_nsclc	scripts/03_xenium_case/05_coPresenceAnalysis_k8.R	03_nicheAnalysis.R outputs	figs/coPresence/copresence_PCA.png	no	Final supplemental order places Xenium co-presence as Figure S8.
suppfig_xenium_copresence_pc1	Supp Fig S8B — PC1 loadings (top 15 cell type pairs)	xenium_nsclc	scripts/03_xenium_case/05_coPresenceAnalysis_k8.R	as above	figs/coPresence/copresence_PC1_loadings.png	no	-
suppfig_xenium_copresence_pc2	Supp Fig S8C — PC2 loadings (top 15 cell type pairs)	xenium_nsclc	scripts/03_xenium_case/05_coPresenceAnalysis_k8.R	as above	figs/coPresence/copresence_PC2_loadings.png	no	-
suppfig_xenium_copresence_multiK	Sensitivity panels for k=4..10 (supplementary)	xenium_nsclc	scripts/03_xenium_case/06_coPresenceAnalysis_multiK.R	as above	figs/coPresence/k{4,5,6,7,8,9,10}/*	no	Sensitivity check across multiple k values; not all panels make it to the final supplement.
suppfig_xenium_spatial_celltypes	Diagnostic output — Xenium per-cell-type spatial heatmaps, not included in final supplement	xenium_nsclc	scripts/03_xenium_case/02_runPhiSpace4Refs.R	xenium_lung_sce.qs	figs/spatialCellTypeHeatmaps/XeniumLungCancer/XeniumLungCancer_PhiSpace_{1,2,3}.png	no	3 multi-panel PNGs covering all 43 cell types; retained as reproducibility output but not listed as a final supplemental figure.
suppfig_stereo_multiref_consistency	Supp Figures S14-S15 — cross-reference consistency	stereoseq_aml	scripts/04_stereoseq_case/05_multiRefConsistency.R	intermediate scRNA-seq PhiSpace scores; Stereo-seq SCE	figs/multiRef/{crossRef_correlation_heatmap,spatial_overlap_comparison}.png	no	S14: all-score Spearman correlation heatmap. S15: spatial distribution of overlapping cell type groups. CSV outputs provide the underlying correlations.
suppfig_stereo_metaclone_states	Supp Figures S11-S13 — meta-clone cell type composition and AML signatures	stereoseq_aml	scripts/04_stereoseq_case/06_metaCloneStates.R	output/barcode-seq_clustering.rds; UCell scores cache	figs/metaClone/{celltype_heatmap,signature_spatial_maps,signature_metaClone_heatmap,signature_celltype_correlation}.png	no	S11: mean PhiSpace z-scores per meta-clone. S12: 11 Hallmark signature spatial maps. S13: signature enrichment and cell-type/signature correlations.
suppfig_pdc_visium	Supp Figure(s) — pDC–fibroblast Visium analysis (R2 C3)	pdc_fibroblast_supp	scripts/05_pdc_fibroblast_supp/02_visium_pDCFibroblast.R	01_runPhiSpace_visium.R outputs	figs/visium_{spatial_heatmaps,correlation_boxplot,correlation_boxplot_all,correlation_heatmap}.png	no	Spatial heatmaps for representative samples + condition boxplots + 40-sample × 5-subtype heatmap.
suppfig_pdc_cosmx	Supp Figure(s) — pDC–fibroblast CosMx validation (R2 C3)	pdc_fibroblast_supp	scripts/05_pdc_fibroblast_supp/03_cosmx_pDCFibroblast.R	02_cosmx_case outputs (allTissue_SCE.qs + PhiRes4Refs.qs)	figs/cosmx_{spatial_heatmaps,correlation_boxplot,correlation_heatmap}.png	no	Per-niche correlation analysis on smoothed PhiSpace scores across 8 CosMx samples.
suppfig_benchmark_performance	Supp Fig S1A — 7-method deconvolution performance boxplot	benchmarking_supp	scripts/06_benchmarking_supp/09_visualise_results.R	Per-method summary CSVs in results_*/all_metrics/	figures/boxplot_all_methods.{pdf,png}	no	Final supplement combines performance and runtime benchmarking as Figure S1, related to Figure 2.
suppfig_benchmark_runtime	Supp Fig S1B — 6-method runtime boxplot	benchmarking_supp	scripts/06_benchmarking_supp/09_visualise_results.R	Per-method *_runtime.txt files in results_*/	figures/runtime_boxplot.{pdf,png}	no	DSTG omitted (no runtime data available from the upstream paper).
suppfig_benchmark_per_dataset	Supp Figure(s) — per-dataset performance comparison	benchmarking_supp	scripts/06_benchmarking_supp/10_analyse_performance.R	Per-method summary CSVs + figures/dataset_sizes.csv	figures/{performance_by_dataset,performance_delta}.{pdf,png}	no	Line charts ordered by n_celltypes; point colour = n_cells, point size = n_common_genes.
table1	Table 1 — methods comparison summary	-	manual (curated from manuscript Methods)	-	Table1.docx	no	Editable Word document; not script-generated.
table_s1_cosmx_enriched_celltypes	Supp Table S1 — niche-specific enriched cell types in all CosMx lung samples	cosmx_nsclc	manual table in LaTeX_source/supplemental.tex	as Fig 3	LaTeX_source/supplemental.tex tab:top5MksAllLungs	no	Final supplemental Table S1; related to Figure 3.
table_s2_crossref_correlations	Supp Table S2 — selected cross-reference Spearman correlations	stereoseq_aml	scripts/04_stereoseq_case/05_multiRefConsistency.R	as suppfig_stereo_multiref_consistency	figs/multiRef/crossRef_overlap_correlations.csv	no	Final supplemental Table S2; related to Figure 5 and Supplementary Figure S14.
suppdata_xenium_top5_enriched	Supplementary CSV — top 5 enriched cell types per niche (k=2..10)	xenium_nsclc	scripts/03_xenium_case/04_clusterEnrichment.R	as fig4_xenium_enrichment	figs/clusterEnrichment/top5_enriched_k{02..10}.csv + summary_all_k.csv	no	-
suppdata_xenium_copresence_loadings	Supplementary CSV — full PCA loadings of co-presence	xenium_nsclc	scripts/03_xenium_case/05_coPresenceAnalysis_k8.R	as suppfig_xenium_copresence_*	figs/coPresence/copresence_PCA_loadings.csv	no	-
suppdata_stereo_crossref_corrs	Supplementary CSV — cross-reference + Stereo-seq spatial correlations	stereoseq_aml	scripts/04_stereoseq_case/05_multiRefConsistency.R	as suppfig_stereo_multiref_consistency	figs/multiRef/{crossRef_overlap_correlations,stereo_overlap_correlations}.csv	no	-
suppdata_pdc_visium_corrs	Supplementary CSV — Visium per-sample pDC-FB correlations	pdc_fibroblast_supp	scripts/05_pdc_fibroblast_supp/02_visium_pDCFibroblast.R	as suppfig_pdc_visium	output/visium_pDC_fb_correlations.csv	no	40 samples × 5 fibroblast subtypes.
suppdata_pdc_cosmx_corrs	Supplementary CSV — CosMx per-sample-niche pDC-FB correlations	pdc_fibroblast_supp	scripts/05_pdc_fibroblast_supp/03_cosmx_pDCFibroblast.R	as suppfig_pdc_cosmx	output/cosmx_pDC_fb_correlations.csv	no	8 samples × 9 niches × 5 subtypes.
suppdata_benchmark_summary	Supplementary CSV — full benchmark metrics matrix	benchmarking_supp	scripts/06_benchmarking_supp/05_integrate_results.py	Per-method summary.csv	integrated_results/*	no	Combined PCC/SSIM/RMSE/JSD/AS across all 7 methods × 32 datasets × N cell types.
